0.418 pkt: 109 | 3 duplicated ACKs
0.418 pkt: 110 | retransmitted
0.418 ACK: 109 | received
0.423 ACK: 109 | received
0.424 pkt: 109 | 3 duplicated ACKs
0.424 pkt: 110 | retransmitted
0.424 ACK: 109 | received
0.434 ACK: 109 | received
0.434 pkt: 109 | 3 duplicated ACKs
0.434 pkt: 110 | retransmitted
0.434 ACK: 109 | received
0.434 ACK: 109 | received
0.434 pkt: 109 | 3 duplicated ACKs
0.434 pkt: 110 | retransmitted
0.434 ACK: 109 | received
0.434 ACK: 115 | received
0.434 pkt: 142 | sent
0.435 pkt: 143 | sent
0.435 pkt: 144 | sent
0.435 pkt: 145 | sent
0.435 pkt: 146 | sent
0.435 pkt: 147 | sent
0.435 ACK: 115 | received
0.445 ACK: 115 | received
0.445 pkt: 115 | 3 duplicated ACKs
0.445 pkt: 116 | retransmitted
0.445 ACK: 115 | received
0.445 ACK: 115 | received
0.445 pkt: 115 | 3 duplicated ACKs
0.445 pkt: 116 | retransmitted
0.447 ACK: 115 | received
0.448 ACK: 115 | received
0.448 pkt: 115 | 3 duplicated ACKs
0.448 pkt: 116 | retransmitted
0.450 ACK: 115 | received
0.451 ACK: 115 | received
0.452 pkt: 115 | 3 duplicated ACKs
0.452 pkt: 116 | retransmitted
0.452 ACK: 115 | received
0.452 ACK: 115 | received
0.452 pkt: 115 | 3 duplicated ACKs
0.452 pkt: 116 | retransmitted
0.455 ACK: 115 | received
0.456 ACK: 115 | received
0.456 pkt: 115 | 3 duplicated ACKs
0.456 pkt: 116 | retransmitted
0.456 ACK: 115 | received
0.457 ACK: 115 | received
0.457 pkt: 115 | 3 duplicated ACKs
0.457 pkt: 116 | retransmitted
0.458 ACK: 115 | received
0.460 ACK: 115 | received
0.460 pkt: 115 | 3 duplicated ACKs
0.460 pkt: 116 | retransmitted
0.460 ACK: 115 | received
0.463 ACK: 115 | received
0.463 pkt: 115 | 3 duplicated ACKs
0.463 pkt: 116 | retransmitted
0.463 ACK: 115 | received
0.464 ACK: 115 | received
0.464 pkt: 115 | 3 duplicated ACKs
0.464 pkt: 116 | retransmitted
0.466 ACK: 115 | received
0.467 ACK: 115 | received
0.467 pkt: 115 | 3 duplicated ACKs
0.467 pkt: 116 | retransmitted
0.468 ACK: 115 | received
0.469 ACK: 115 | received
0.469 pkt: 115 | 3 duplicated ACKs
0.469 pkt: 116 | retransmitted
0.470 ACK: 147 | received
0.470 pkt: 148 | sent
0.470 pkt: 149 | sent
0.470 pkt: 150 | sent
0.470 pkt: 151 | sent
0.471 pkt: 152 | sent
0.471 pkt: 153 | sent
0.471 pkt: 154 | sent
0.471 pkt: 155 | sent
0.471 pkt: 156 | sent
0.472 pkt: 157 | sent
0.472 pkt: 158 | sent
0.472 pkt: 159 | sent
0.472 pkt: 160 | sent
0.472 pkt: 161 | sent
0.473 pkt: 162 | sent
0.473 pkt: 163 | sent
0.475 pkt: 164 | sent
0.475 pkt: 165 | sent
0.476 pkt: 166 | sent
0.476 pkt: 167 | sent
0.476 pkt: 168 | sent
0.476 pkt: 169 | sent
0.476 pkt: 170 | sent
0.476 pkt: 171 | sent
0.476 pkt: 172 | sent
0.476 pkt: 173 | sent
0.476 pkt: 174 | sent
0.476 pkt: 175 | sent
0.477 pkt: 176 | sent
0.477 pkt: 177 | sent
0.477 pkt: 178 | sent
0.477 pkt: 179 | sent
0.477 ACK: 147 | received
0.477 ACK: 147 | received
0.477 pkt: 147 | 3 duplicated ACKs
0.477 pkt: 148 | retransmitted
0.478 ACK: 147 | received
0.478 ACK: 147 | received
0.478 pkt: 147 | 3 duplicated ACKs
0.478 pkt: 148 | retransmitted
0.479 ACK: 147 | received
0.483 ACK: 147 | received
0.484 pkt: 147 | 3 duplicated ACKs
0.484 pkt: 148 | retransmitted
0.485 ACK: 147 | received
0.488 ACK: 147 | received
0.488 pkt: 147 | 3 duplicated ACKs
0.488 pkt: 148 | retransmitted
0.493 ACK: 147 | received
0.493 ACK: 148 | received
0.493 pkt: 180 | sent
0.493 ACK: 149 | received
